# ----------------------------------------
# <REDACTED>
# Browser & OS
# 20130610-20140610
# ----------------------------------------

Screen Resolution,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
1366x768,"7,449,133",47.91%,"3,568,747",43.03%,5.05,00:04:39,14.32%,"1,066,449",£0.00
1280x800,"3,981,486",38.50%,"1,532,750",41.88%,5.39,00:04:50,13.71%,"546,020",£0.00
768x1024,"3,638,703",44.77%,"1,628,892",46.85%,4.66,00:03:40,7.50%,"272,954",£0.00
1440x900,"2,194,348",48.68%,"1,068,276",47.10%,4.92,00:04:02,11.55%,"253,420",£0.00
1280x1024,"2,037,207",56.37%,"1,148,288",39.39%,5.16,00:04:02,11.76%,"239,506",£0.00
1024x768,"1,797,468",65.76%,"1,182,001",52.89%,4.29,00:03:38,10.92%,"196,304",£0.00
1920x1080,"1,603,142",50.01%,"801,804",43.80%,5.06,00:03:52,11.53%,"184,907",£0.00
1600x900,"862,151",52.81%,"455,343",44.04%,4.96,00:04:12,12.79%,"110,297",£0.00
1680x1050,"820,292",44.75%,"367,085",41.01%,5.46,00:04:47,11.32%,"92,847",£0.00
1024x600,"414,480",48.27%,"200,072",42.39%,5.02,00:05:48,16.05%,"66,512",£0.00
1920x1200,"286,270",44.28%,"126,755",43.99%,5.00,00:03:55,10.94%,"31,315",£0.00
1093x614,"208,319",49.16%,"102,411",41.37%,5.38,00:04:55,15.01%,"31,265",£0.00
2560x1440,"197,694",42.15%,"83,321",44.60%,5.09,00:03:41,11.29%,"22,329",£0.00
1280x720,"196,333",52.97%,"103,989",43.87%,4.90,00:04:16,13.44%,"26,387",£0.00
1360x768,"193,773",57.24%,"110,914",47.76%,4.50,00:04:03,13.27%,"25,719",£0.00
1280x768,"165,337",52.66%,"87,071",43.41%,5.01,00:04:33,14.22%,"23,517",£0.00
1152x864,"118,328",56.01%,"66,276",42.63%,4.94,00:04:19,12.97%,"15,353",£0.00
1301x731,"110,875",49.59%,"54,982",40.57%,5.56,00:04:59,14.92%,"16,545",£0.00
1536x864,"109,268",54.60%,"59,665",42.23%,5.30,00:04:04,12.24%,"13,371",£0.00
320x480,"99,023",74.57%,"73,844",70.13%,2.57,00:01:55,1.83%,"1,812",£0.00
320x568,"94,216",76.99%,"72,539",72.43%,2.56,00:01:40,1.87%,"1,765",£0.00
1438x808,"90,862",49.85%,"45,291",41.01%,5.39,00:04:47,15.28%,"13,880",£0.00
1024x819,"86,288",51.36%,"44,315",37.23%,5.72,00:04:26,13.14%,"11,340",£0.00
1242x698,"80,946",48.69%,"39,411",40.27%,5.60,00:05:01,15.43%,"12,494",£0.00
800x600,"75,511",69.19%,"52,243",60.78%,3.50,00:03:12,10.88%,"8,215",£0.00
(not set),"68,887",13.76%,"9,479",0.72%,11.04,00:13:16,105.70%,"72,811",£0.00
1280x960,"67,027",54.99%,"36,860",42.32%,5.28,00:04:27,13.37%,"8,960",£0.00
1152x720,"62,114",44.63%,"27,722",41.86%,5.47,00:04:32,13.33%,"8,277",£0.00
1188x668,"60,065",47.92%,"28,782",39.86%,5.64,00:05:16,15.27%,"9,171",£0.00
1518x853,"57,915",50.35%,"29,159",41.24%,5.32,00:04:38,14.71%,"8,522",£0.00
1138x640,"52,746",44.72%,"23,588",39.08%,5.86,00:05:24,15.68%,"8,271",£0.00
1024x640,"46,679",48.26%,"22,528",42.04%,5.46,00:05:20,14.15%,"6,606",£0.00
1600x1200,"45,580",51.52%,"23,482",43.79%,4.76,00:03:42,9.71%,"4,426",£0.00
1344x840,"36,286",50.38%,"18,280",41.38%,5.09,00:03:51,11.83%,"4,293",£0.00
720x1280,"34,015",58.51%,"19,901",64.14%,3.33,00:02:57,4.41%,"1,501",£0.00
534x854,"31,665",40.65%,"12,872",50.95%,4.69,00:03:38,7.79%,"2,467",£0.00
1607x904,"31,476",50.47%,"15,886",40.70%,5.33,00:04:44,15.28%,"4,810",£0.00
1051x591,"28,896",45.92%,"13,268",40.42%,5.73,00:05:14,15.46%,"4,468",£0.00
360x640,"28,329",69.47%,"19,680",71.69%,2.75,00:02:17,2.46%,697,£0.00
854x534,"26,460",40.99%,"10,845",50.66%,4.86,00:04:05,7.37%,"1,950",£0.00
1311x737,"25,453",51.44%,"13,094",38.97%,5.41,00:04:46,13.70%,"3,487",£0.00
480x800,"24,882",64.15%,"15,961",64.01%,2.96,00:02:35,3.73%,928,£0.00
1229x983,"20,983",48.13%,"10,099",36.16%,5.45,00:04:39,11.02%,"2,313",£0.00
1821x1024,"20,142",50.36%,"10,143",39.86%,5.48,00:05:01,14.97%,"3,016",£0.00
1441x810,"19,531",52.13%,"10,182",39.41%,5.49,00:05:02,14.84%,"2,899",£0.00
1012x569,"18,210",46.63%,"8,491",40.56%,5.68,00:05:12,16.22%,"2,954",£0.00
1400x1050,"18,137",53.60%,"9,721",42.24%,5.33,00:04:51,13.97%,"2,533",£0.00
600x1024,"17,880",47.46%,"8,486",56.01%,4.24,00:03:16,6.53%,"1,168",£0.00
1249x702,"16,142",52.03%,"8,398",39.40%,5.46,00:04:49,13.72%,"2,214",£0.00
911x512,"15,277",45.56%,"6,960",41.02%,5.42,00:05:12,15.79%,"2,412",£0.00
1067x600,"14,658",51.59%,"7,562",39.83%,5.50,00:04:51,13.99%,"2,051",£0.00
1080x1920,"14,557",60.21%,"8,765",61.87%,3.28,00:02:29,5.35%,779,£0.00
853x533,"14,313",44.95%,"6,434",47.21%,5.38,00:04:45,9.67%,"1,384",£0.00
1350x1080,"14,166",49.16%,"6,964",37.29%,5.58,00:04:25,11.79%,"1,670",£0.00
1252x704,"12,537",15.51%,"1,944",29.53%,8.10,00:08:16,20.62%,"2,585",£0.00
1364x768,"12,428",56.95%,"7,078",39.97%,6.13,00:05:35,13.42%,"1,668",£0.00
1708x960,"12,339",45.08%,"5,563",37.88%,5.93,00:05:36,16.01%,"1,976",£0.00
533x853,"11,947",46.09%,"5,506",50.00%,4.93,00:03:42,6.96%,832,£0.00
